Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
21_04_30 21:17:54.564;285;I;1A;1;1DAB;174;;0c0000009734085a29296800a28a2800a28a298051451400514514009452d1400945145002514b45031b452d1400da2968a006d14b494009452d25020a4a5a280128a28a004a28a2800a28a2800a28a2800a28a2800a28a2800a28a2800a5a4a5a0028a28a0028a296800a28a5a0028a29681851452d001451450014514b4005145140828a28a0028a28a0028a28a0028a28a0028a28a0028a4a28016928a2800a28a4cd002d266928a002928a28
21_04_30 21:18:07.732;286;I;2;1;4216;66;;07006800060202002b008501d7ff01001b0000000000fdfffdfffdfffdff00300000cc1eb41901000b748c605a040c05018d1e19720e0d748c60de4b03001a00d81e
21_04_30 21:18:07.732;287;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:18:14.851;203;O;1;4;  71;4;ERR;01005e01
21_04_30 21:18:15.899;290;I;4;1;DE24;0;;
21_04_30 21:18:20.841;198;O;1;2;  76;74;ERR;05002b748c60760001000400040001002c014e748c602a0001000400000050748c60a21d01001a000400aa00000052748c60a31d01001a00040040420f0054748c60a01d01001a000000
21_04_30 21:18:22.569;293;I;2;1; 118;2;;30f0
21_04_30 21:18:36.506;294;I;4;1;DE24;0;;
21_04_30 21:18:37.798;295;I;2;1;4216;66;;07002e00330001000c000a00d7ff02001a0000000000fdfffdfffdfffdff00300000cc1ebe19010029748c605a04060401901e19720e2b748c60fc4b03001a00d81e
21_04_30 21:18:37.798;296;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:19:07.800;297;I;2;1;4216;66;;070016000b00010003000000d9ff0000190000000000fdfffdfffdfffdff00200800cc1ec819010047748c605a040403018b1e19720e49748c601a4c03001a00dc1e
21_04_30 21:19:07.801;298;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:19:12.105;299;I;4;1;DE21;46;;09000f001600010001000100d7ff0000190000000000a2fec2fec2febbfe00200800cc1ecb1901001a43985a5a04
