Date and time[ms],Stamp,"Direction[In, Out, Undefined]",Source,Destination,Message Id,Length,Status for Tx,Data
21_04_29 21:19:43.045,94,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_29 21:19:58.468,88,O,1,2,  77,134,ERR,03000c238b60770001000400040001001e0013238b6070f0010005005c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000515238b60600a010005000000
21_04_29 21:20:01.391,100,I,2,1, 118,2,00000000,30f0
21_04_29 21:20:13.098,101,I,2,1,4216,66,00000000,e304271455139d0493000000190000001b0000000000080007000700080000300000e81e43a9000009238b605a04100e018d1e19720e0a238b6030fb01001a00fc1e
21_04_29 21:20:13.099,102,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_29 21:20:35.329,99,O,1,2,  77,218,ERR,040031238b60770001000400040001001e0038238b6070f0010005005c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053a238b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a003c238b60600a010005000000
21_04_29 21:20:37.502,107,I,1,2,F030,218,00000000,040031238b60770001000400040001001e0038238b6070f0010005005c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053a238b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891ed0000000000000000000000000000000000000000000000
21_04_29 21:20:45.494,105,O,1,2,  77,218,ERR,04003b238b60770001000400040001001e0042238b6070f0010005005c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000544238b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a0046238b60600a010005000000
21_04_29 21:20:49.699,110,O,1,2,  77,218,ERR,04003f238b60770001000400040001001e0046238b6070f0010005005c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000548238b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a004a238b60600a010005000000
21_04_29 21:20:53.063,112,O,1,2,  77,218,ERR,040043238b60770001000400040001001e004a238b6070f0010005005c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054c238b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a004e238b60600a010005000000
21_04_29 21:20:56.453,114,O,1,2,  77,218,ERR,040046238b60770001000400040001001e004d238b6070f0010005005c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054f238b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a0051238b60600a010005000000
21_04_29 21:20:59.809,116,O,1,2,  77,218,ERR,040049238b60770001000400040001001e0050238b6070f0010005005c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000552238b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a0054238b60600a010005000000
21_04_29 21:21:05.998,118,O,1,2,  77,114,ERR,03004f238b60770001000400040001001e0051238b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a0053238b60600a010005000000
21_04_29 21:21:08.905,121,I,2,1, 118,2,00000000,30f0
